Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2s.7s""","=""1S""","=""0""","="" 8.982454""","=""0.000022""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""0""","="" 9.013320""","=""0.000010""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""1""","="" 9.013321""","=""0.000009""","=""L9172"""
"=""1s2.2s.7p""","=""3P*""","=""2""","="" 9.013321""","=""0.000007""","=""L9172"""
"=""1s2.2s.7p""","=""1P*""","=""1""","=""[9.01387]""","=""0.00006""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""3""","="" 9.036082""","=""0.000015""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""2""","="" 9.036094""","=""0.000016""","=""L9172"""
"=""1s2.2s.7d""","=""3D""","=""1""","="" 9.036096""","=""0.000020""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""4""","="" 9.04237""","=""0.00010""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""2""","="" 9.042367""","=""0.000009""","=""L9172"""
"=""1s2.2s.7f""","=""3F*""","=""3""","="" 9.042368""","=""0.000007""","=""L9172"""
"=""1s2.2s.7f""","=""1F*""","=""3""","="" 9.042387""","=""0.000007""","=""L9172"""
"=""1s2.2s.7d""","=""1D""","=""2""","="" 9.053022""","=""0.000009""","=""L9172"""
"=""1s2.2s.8s""","=""3S""","=""1""","="" 9.06181""","=""0.00019""","=""L9172"""
"=""1s2.2s.8s""","=""1S""","=""0""","="" 9.069031""","=""0.000024""","=""L9172"""
"=""1s2.2s.8p""","=""3P*""","=""2""","="" 9.089176""","=""0.000007""","=""L9172"""
"=""1s2.2s.8p""","=""3P*""","=""1""","="" 9.089177""","=""0.000009""","=""L9172"""
"=""1s2.2s.8p""","=""3P*""","=""0""","="" 9.089179""","=""0.000011""","=""L9172"""
"=""1s2.2s.8p""","=""1P*""","=""1""","=""[9.08924]""","=""0.00006""","=""L9172"""
"=""1s2.2s.8d""","=""3D""","=""3""","="" 9.104078""","=""0.000016""","=""L9172"""
"=""1s2.2s.8d""","=""3D""","=""2""","="" 9.104088""","=""0.000017""","=""L9172"""
"=""1s2.2s.8d""","=""3D""","=""1""","="" 9.104089""","=""0.000021""","=""L9172"""
"=""1s2.2s.8d""","=""1D""","=""2""","="" 9.115308""","=""0.000011""","=""L9172"""
"=""1s2.2s.9s""","=""1S""","=""0""","="" 9.12630""","=""0.00004""","=""L9172"""
"=""1s2.2s.9p""","=""1P*""","=""1""","=""[9.13880]""","=""0.00006""","=""L9172"""
"=""1s2.2s.9d""","=""3D""","=""1""","="" 9.1502""","=""0.0004""","=""L9172"""
"=""1s2.2s.9d""","=""3D""","=""2""","="" 9.1503""","=""0.0003""","=""L9172"""
"=""1s2.2s.9d""","=""3D""","=""3""","="" 9.15048""","=""0.00025""","=""L9172"""
"=""1s2.2s.9d""","=""1D""","=""2""","="" 9.158335""","=""0.000012""","=""L9172"""
"=""1s2.2s.10s""","=""1S""","=""0""","="" 9.16621""","=""0.00004""","=""L9172"""
"=""1s2.2s.10p""","=""1P*""","=""1""","=""[9.17597]""","=""0.00006""","=""L9172"""
"=""1s2.2s.10d""","=""3D""","=""1""","="" 9.1834""","=""0.0003""","=""L9172"""
"=""1s2.2s.10d""","=""3D""","=""2""","="" 9.18351""","=""0.00025""","=""L9172"""
"=""1s2.2s.10d""","=""3D""","=""3""","="" 9.1836""","=""0.0004""","=""L9172"""
"=""1s2.2s.10d""","=""1D""","=""2""","="" 9.189210""","=""0.000025""","=""L9172"""
"=""1s2.2s.11s""","=""1S""","=""0""","="" 9.19510""","=""0.00004""","=""L9172"""
"=""1s2.2s.11p""","=""1P*""","=""1""","=""[9.20224]""","=""0.00006""","=""L9172"""
"=""1s2.2s.11d""","=""3D""","=""1""","="" 9.2080""","=""0.0003""","=""L9172"""
"=""1s2.2s.11d""","=""3D""","=""2""","="" 9.20806""","=""0.00025""","=""L9172"""
"=""1s2.2s.11d""","=""3D""","=""3""","="" 9.2082""","=""0.0004""","=""L9172"""
"=""1s2.2s.11d""","=""1D""","=""2""","="" 9.21221""","=""0.00004""","=""L9172"""
"=""1s2.2s.12p""","=""1P*""","=""1""","=""[9.22203]""","=""0.00006""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""1""","="" 9.2262""","=""0.0003""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""2""","="" 9.22628""","=""0.00025""","=""L9172"""
"=""1s2.2s.12d""","=""3D""","=""3""","="" 9.2264""","=""0.0004""","=""L9172"""
"=""1s2.2s.12d""","=""1D""","=""2""","="" 9.22981""","=""0.00004""","=""L9172"""
"=""1s2.2s.13p""","=""1P*""","=""1""","=""[9.23733]""","=""0.00006""","=""L9172"""
"=""Be II (2s 2S<1/2>)""","=""Limit""","=""---""","="" 9.322699""","=""0.000007""","=""L5964"""
"=""1s2.2p2""","=""1S""","=""0""","="" 9.4464a""","=""0.0007""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""0""","="" 10.607337""","=""0.000014""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""1""","="" 10.607596""","=""0.000009""","=""L9172"""
"=""1s2.2p.3s""","=""3P*""","=""2""","="" 10.608089""","=""0.000009""","=""L9172"""
"=""1s2.2p.3s""","=""1P*""","=""1""","="" 10.94a""","=""0.10""","=""L9172"""
"=""1s2.2p.3p""","=""1P""","=""1""","="" 11.049619""","=""0.000006""","=""L9172"""
"=""1s2.2p.3p""","=""3P""","=""0""","="" 11.408382""","=""0.000015""","=""L9172"""
