Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s.9d""","=""3D""","=""3""","=""[24.419335888144]""","=""0.000000000004""","=""L8948"""
"=""1s.9d""","=""3D""","=""2""","=""[24.419335902367]""","=""0.000000000004""","=""L8948"""
"=""1s.9d""","=""3D""","=""1""","=""[24.419336102843]""","=""0.000000000004""","=""L8948"""
"=""1s.9d""","=""1D""","=""2""","=""[24.419363440351]""","=""0.000000000004""","=""L8948"""
"=""1s.9f""","=""3F*""","=""3""","=""[24.4194249695298]""","=""0.0000000000009""","=""L8948"""
"=""1s.9f""","=""3F*""","=""4""","=""[24.4194250206772]""","=""0.0000000000009""","=""L8948"""
"=""1s.9f""","=""3F*""","=""2""","=""[24.4194251143717]""","=""0.0000000000009""","=""L8948"""
"=""1s.9f""","=""1F*""","=""3""","=""[24.4194252634467]""","=""0.0000000000009""","=""L8948"""
"=""1s.9g""","=""3G""","=""4""","=""[24.41943648105410]""","=""0.00000000000025""","=""L8948"""
"=""1s.9g""","=""3G""","=""5""","=""[24.41943653980575]""","=""0.00000000000025""","=""L8948"""
"=""1s.9g""","=""3G""","=""3""","=""[24.41943659334250]""","=""0.00000000000025""","=""L8948"""
"=""1s.9g""","=""1G""","=""4""","=""[24.41943662954452]""","=""0.00000000000025""","=""L8948"""
"=""1s.9h""","=""3H*""","=""5""","=""[24.41943926060352]""","=""0.00000000000012""","=""L8948"""
"=""1s.9h""","=""3H*""","=""6""","=""[24.41943929896249]""","=""0.00000000000012""","=""L8948"""
"=""1s.9h""","=""3H*""","=""4""","=""[24.41943933377775]""","=""0.00000000000012""","=""L8948"""
"=""1s.9h""","=""1H*""","=""5""","=""[24.41943935975852]""","=""0.00000000000012""","=""L8948"""
"=""1s.9i""","=""3I""","=""6""","=""[24.41944015122678]""","=""0.00000000000012""","=""L8948"""
"=""1s.9i""","=""3I""","=""7""","=""[24.41944017813147]""","=""0.00000000000012""","=""L8948"""
"=""1s.9i""","=""3I""","=""5""","=""[24.41944020264687]""","=""0.00000000000012""","=""L8948"""
"=""1s.9i""","=""1I""","=""6""","=""[24.41944022212417]""","=""0.00000000000012""","=""L8948"""
"=""1s.9k""","=""3K*""","=""7""","=""[24.41944049736809]""","=""0.00000000000012""","=""L8948"""
"=""1s.9k""","=""3K*""","=""8""","=""[24.41944051726346]""","=""0.00000000000012""","=""L8948"""
"=""1s.9k""","=""3K*""","=""6""","=""[24.41944053548629]""","=""0.00000000000012""","=""L8948"""
"=""1s.9k""","=""1K*""","=""7""","=""[24.41944055057566]""","=""0.00000000000012""","=""L8948"""
"=""1s.9p""","=""1P*""","=""1""","=""[24.41988963744]""","=""0.00000000009""","=""L8948"""
"=""1s.10s""","=""3S""","=""1""","=""[24.44289372042]""","=""0.00000000016""","=""L8948"""
"=""1s.10s""","=""1S""","=""0""","=""[24.44746034222]""","=""0.00000000012""","=""L8948"""
"=""1s.10p""","=""3P*""","=""2""","=""[24.44947721493]""","=""0.00000000009""","=""L8948"""
"=""1s.10p""","=""3P*""","=""1""","=""[24.44947728263]""","=""0.00000000009""","=""L8948"""
"=""1s.10p""","=""3P*""","=""0""","=""[24.44947811498]""","=""0.00000000009""","=""L8948"""
"=""1s.10d""","=""3D""","=""3""","=""[24.451274135127]""","=""0.000000000004""","=""L8948"""
"=""1s.10d""","=""3D""","=""2""","=""[24.451274145530]""","=""0.000000000004""","=""L8948"""
"=""1s.10d""","=""3D""","=""1""","=""[24.451274291635]""","=""0.000000000004""","=""L8948"""
"=""1s.10d""","=""1D""","=""2""","=""[24.4512944275430]""","=""0.0000000000025""","=""L8948"""
"=""1s.10f""","=""3F*""","=""3""","=""[24.4513393678505]""","=""0.0000000000004""","=""L8948"""
"=""1s.10f""","=""3F*""","=""4""","=""[24.4513394043085]""","=""0.0000000000004""","=""L8948"""
"=""1s.10f""","=""3F*""","=""2""","=""[24.4513394726070]""","=""0.0000000000004""","=""L8948"""
"=""1s.10f""","=""1F*""","=""3""","=""[24.4513395841480]""","=""0.0000000000004""","=""L8948"""
"=""1s.10g""","=""3G""","=""4""","=""[24.45134781888615]""","=""0.00000000000016""","=""L8948"""
"=""1s.10g""","=""3G""","=""5""","=""[24.45134786170360]""","=""0.00000000000016""","=""L8948"""
"=""1s.10g""","=""3G""","=""3""","=""[24.45134790073097]""","=""0.00000000000016""","=""L8948"""
"=""1s.10g""","=""1G""","=""4""","=""[24.45134792713613]""","=""0.00000000000016""","=""L8948"""
"=""1s.10h""","=""3H*""","=""5""","=""[24.45134986834879]""","=""0.00000000000012""","=""L8948"""
"=""1s.10h""","=""3H*""","=""6""","=""[24.45134989631256]""","=""0.00000000000012""","=""L8948"""
