Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3.(2D*).4p""","=""1F""","=""3""","="" 34.487347""","=""""","="""""
"=""2s2.2p3.(2D*).4p""","=""3P""","=""2""","="" 34.513235""","=""""","="""""
"=""2s2.2p3.(2D*).4p""","=""3P""","=""1""","="" 34.516844""","=""""","="""""
"=""2s2.2p3.(2D*).4p""","=""3P""","=""0""","="" 34.519206""","=""""","="""""
"=""2s2.2p3.(2D*).4p""","=""1D""","=""2""","="" 34.746598""","=""""","="""""
"=""F III (2p3 4S*<3/2>)""","=""Limit""","=""---""","="" 34.97081""","=""0.00012""","=""L369"""
"=""2s2.2p3.(2P*).3d""","=""3F*""","=""4""","="" 35.031084""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3F*""","=""3""","="" 35.034102""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3F*""","=""2""","="" 35.036262""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1D*""","=""2""","="" 35.059630""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""0""","="" 35.074667""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""","="" 35.076684""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""2""","="" 35.080953""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""","="" 35.131391""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""","="" 35.131877""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""3""","="" 35.133961""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1F*""","=""3""","="" 35.138318""","=""""","="""""
"=""2s2.2p3.(2P*).3d""","=""1P*""","=""1""","="" 35.239432""","=""""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""2""","="" 35.546428""","=""""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""1""","="" 35.547031""","=""""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""0""","="" 35.547377""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""3G*""","=""5""","="" 35.663968""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""3G*""","=""4""","="" 35.665145""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""3G*""","=""3""","="" 35.665309""","=""""","="""""
"=""2s2.2p3.(2D*).4d""","=""1G*""","=""4""","="" 35.669904""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[9/2]""","=""5""","="" 35.785146""","=""""","="""""
