Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3.(2D*).6d""","=""3D*""","=""3""","="" 11.79a""","=""0.12""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).6d""","=""3D*""","=""2""","="" 11.79a""","=""0.12""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5s""","=""3P*""","=""0""","="" 11.8009?""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5s""","=""3P*""","=""2""","="" 11.8030""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5s""","=""3P*""","=""1""","="" 11.8043""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).6d""","=""3S*""","=""1""","="" 11.8102a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).6d""","=""1D*""","=""2""","="" 11.8156""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).6f""","=""""","=""""","="" 11.82178""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8s""","=""3D*""","=""2""","="" 11.822""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8s""","=""3D*""","=""1""","="" 11.822""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8s""","=""3D*""","=""3""","="" 11.822""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).6f""","=""""","=""""","="" 11.82603""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).6d""","=""3P*""","=""2""","="" 11.8560""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).6d""","=""3P*""","=""1""","="" 11.8560""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).5s""","=""1P*""","=""1""","="" 11.857719""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2P*).3d""","=""1P*""","=""1""","="" 11.88680""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8p""","=""""","=""""","="" 11.88772""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3D*""","=""3""","="" 11.9032a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3D*""","=""2""","="" 11.9032a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3D*""","=""1""","="" 11.9032a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3S*""","=""1""","="" 11.9148""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""1D*""","=""2""","="" 11.9190""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).7f""","=""""","=""""","="" 11.92232""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).7f""","=""""","=""""","="" 11.92656""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9s""","=""3D*""","=""3""","="" 11.9278""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9s""","=""3D*""","=""2""","="" 11.9278""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9s""","=""3D*""","=""1""","="" 11.9278""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3P*""","=""2""","="" 11.9412""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).7d""","=""3P*""","=""1""","="" 11.9412""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9p""","=""""","=""""","="" 11.96611""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8d""","=""3D*""","=""2""","="" 11.9791a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8d""","=""3D*""","=""1""","="" 11.9791a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8d""","=""3D*""","=""3""","="" 11.9791a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8d""","=""3S*""","=""1""","="" 11.9829""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).8d""","=""1D*""","=""2""","="" 11.9864""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).8f""","=""""","=""""","="" 11.98792""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10s""","=""3D*""","=""1""","="" 11.9913""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10s""","=""3D*""","=""3""","="" 11.9913""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10s""","=""3D*""","=""2""","="" 11.9913""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).8f""","=""""","=""""","="" 11.99196""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10p""","=""""","=""""","="" 12.01866""","=""""","=""                                            ""","="""""
