Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p2.(3P<2>).5f""","=""2[5]*""","=""9/2""","="" 21.216846""","=""""","=""  49     or  :    48  3s2.3p2.(1D).4f 2G*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[2]*""","=""3/2""","="" 21.223946""","=""""","=""  94     or  :    70  3s2.3p2.(3P).5f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[2]*""","=""5/2""","="" 21.226624""","=""""","=""  82     or  :    57  3s2.3p2.(3P).5f 4F*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[3]*""","=""5/2""","="" 21.224728""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2F*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[3]*""","=""7/2""","="" 21.224779""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2F*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[4]*""","=""7/2""","="" 21.234014""","=""""","=""  79     or  :    81  3s2.3p2.(3P).5f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[4]*""","=""9/2""","="" 21.236173""","=""""","=""  96     or  :    83  3s2.3p2.(3P).5f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[3]*""","=""5/2""","="" 21.239103""","=""""","=""  85     or  :    64  3s2.3p2.(3P).5f 2F*  ""","="""""
"=""3s2.3p2.(3P<2>).5f""","=""2[3]*""","=""7/2""","="" 21.245700""","=""""","=""  77     or  :    84  3s2.3p2.(3P).5f 2F*  ""","="""""
"=""3s2.3p2.(3P<2>).5g""","=""2[6]""","=""13/2""","="" 21.253477""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).5g""","=""2[6]""","=""11/2""","="" 21.253498""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).5g""","=""2[5]""","=""9/2""","="" ""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).5g""","=""2[5]""","=""11/2""","="" 21.262725""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[2]*""","=""3/2""","="" 21.297861""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2D*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[2]*""","=""5/2""","="" 21.297861""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2D*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[5]*""","=""11/2""","="" 21.303197""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2H*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[5]*""","=""9/2""","="" 21.303197""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2H*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[1]*""","=""3/2""","="" 21.370376""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2P*  ""","="""""
"=""3s2.3p2.(1D<2>).4f""","=""2[1]*""","=""1/2""","="" 21.370376""","=""""","=""  99     or  :   100  3s2.3p2.(1D).4f 2P*  ""","="""""
"=""3s2.3p2.(3P).7s""","=""4P""","=""1/2""","="" 21.488548""","=""""","=""  89         :    10  3s2.3p2.(3P).7s 2P   ""","="""""
"=""3s2.3p2.(3P).7s""","=""4P""","=""3/2""","="" 21.523132""","=""""","=""  92         :     8  3s2.3p2.(3P).7s 2P   ""","="""""
"=""3s2.3p2.(3P).7s""","=""4P""","=""5/2""","="" 21.585413""","=""""","=""  98         :     1  3s2.3p2.(3P).6d 4F   ""","="""""
"=""3s2.3p2.(3P).7s""","=""2P""","=""1/2""","="" 21.542132""","=""""","=""  89         :    10  3s2.3p2.(3P).7s 4P   ""","="""""
"=""3s2.3p2.(3P).7s""","=""2P""","=""3/2""","="" 21.607287""","=""""","=""  84         :     7  3s2.3p2.(3P).7s 4P   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4D""","=""7/2""","="" ""","=""""","=""  75         :    24  3s2.3p2.(3P).6d 4F   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4D""","=""1/2""","="" ""","=""""","=""  96         :     2  3s2.3p2.(3P).6d 2P   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4D""","=""3/2""","="" 21.614080""","=""""","=""  76         :     9  3s2.3p2.(3P).6d 4F   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4D""","=""5/2""","="" 21.617999""","=""""","=""  61         :    20  3s2.3p2.(3P).6d 4F   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4F""","=""5/2""","="" ""","=""""","=""  75         :    20  3s2.3p2.(3P).6d 4D   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4F""","=""3/2""","="" ""","=""""","=""  88         :     9  3s2.3p2.(3P).6d 4D   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4F""","=""7/2""","="" ""","=""""","=""  74         :    23  3s2.3p2.(3P).6d 4D   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4F""","=""9/2""","="" 21.638872""","=""""","=""  99         :     1  3s2.3p2.(3P).5d 4F   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4P""","=""5/2""","="" 21.683937""","=""""","=""  78         :    17  3s2.3p2.(3P).6d 4D   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4P""","=""3/2""","="" 21.699687""","=""""","=""  80         :     8  3s2.3p2.(3P).6d 2P   ""","="""""
"=""3s2.3p2.(3P).6d""","=""4P""","=""1/2""","="" 21.707589""","=""""","=""  95         :     2  3s2.3p2.(3P).6d 4D   ""","="""""
"=""3s2.3p2.(3P<2>).6f""","=""2[5]*""","=""11/2""","="" 21.890630""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).6f""","=""2[5]*""","=""9/2""","="" 21.897432""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).6f""","=""2[4]*""","=""7/2""","="" 21.908148""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).6f""","=""2[4]*""","=""9/2""","="" 21.909559""","=""""","=""                                           ""","="""""
