Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""2p5.3s2""","=""2P*""","=""3/2""","="" 49.915""","=""""","=""                                                    ""","="""""
"=""2p5.3s2""","=""2P*""","=""1/2""","="" 50.153""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","="" 53.1839""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","="" 53.820""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","="" 53.8876""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","="" 53.957""","=""0.012""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","="" 54.012""","=""0.012""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 53.96""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","="" 54.252""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","="" 54.3258""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 54.47""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""5/2""","="" 54.496""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 54.58""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""3/2""","="" 54.71""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 55.19""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 56.70""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 56.85""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""3/2""","="" 57.01?""","=""""","=""                                                    ""","="""""
"=""2p5.3s.3p?""","=""""","=""""","="" 57.05""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2S""","=""1/2""","="" 57.644?""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""1/2""","="" 59.201""","=""""","=""  49             :    42  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(1D)""","=""2P*""","=""3/2""","="" 59.297""","=""""","=""  42             :    35  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4P*""","=""5/2""","="" 59.9306""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""7/2""","="" 60.3625""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""4D*""","=""5/2""","="" 60.5468""","=""0.0005""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""4P*""","=""5/2""","="" 60.4057""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4F*""","=""9/2""","="" 60.6758""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""4P*""","=""5/2""","="" 60.683""","=""""","=""                                                    ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""2P*""","=""1/2""","="" 60.917""","=""""","=""  78             :    12  2p5.(2P*).3s.4s.(3S) 4P*  ""","="""""
"=""2p5.(2P*).3s.4s.(3S)""","=""2P*""","=""3/2""","="" 60.949""","=""""","=""  63             :    26  2p5.(2P*).3s.4s.(1S) 2P*  ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""*""","=""3/2""","="" 61.094""","=""""","=""  48  2D*        :    47  2p5.(2P*).3s.3d.(3D) 2P*  ""","="""""
"=""2p5.(2P*).3s.3d.(3D)""","=""2P*""","=""1/2""","="" 61.223""","=""""","=""  87             :    10  2p5.(2P*).3s.3d.(3D) 4D*  ""","="""""
"=""2p5.(2P*).3s.4s.(1S)""","=""2P*""","=""3/2""","="" 61.297""","=""""","=""  68             :    26  2p5.(2P*).3s.4s.(3S) 2P*  ""","="""""
"=""2p5.(2P*).3s.4s.(1S)""","=""2P*""","=""1/2""","="" 61.378""","=""""","=""  91             :     8  2p5.(2P*).3s.4s.(3S) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""2P*""","=""1/2""","="" 62.207""","=""""","=""  76             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.(2P*).3p2.(3P)""","=""2P*""","=""3/2""","="" 62.709""","=""""","=""  75             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.028""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","="" 64.107""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.137""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.210""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","="" 64.293""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.391""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.441""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5s?""","=""*""","=""1/2 or 3/2""","="" 64.692""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.723""","=""""","=""                                                    ""","="""""
"=""2p5.3s.4d?""","=""*""","=""1/2 or 3/2""","="" 64.811""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","="" 65.472""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","="" 65.521""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","="" 65.596""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","="" 65.631""","=""""","=""                                                    ""","="""""
"=""2p5.3s.5d?""","=""*""","=""1/2 or 3/2""","="" 65.760""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","="" 66.167""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","="" 66.235""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","="" 66.359""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","="" 66.490""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","="" 66.665""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","="" 66.805""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","="" 66.924""","=""""","=""                                                    ""","="""""
"=""2p5.3s.8d?""","=""*""","=""1/2 or 3/2""","="" 67.088""","=""""","=""                                                    ""","="""""
"=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""","="" 67.135""","=""""","=""                                                    ""","="""""
"=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""","="" 67.269""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","="" 67.349""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<2>)""","=""Limit""","=""---""","="" 67.8079""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<1>)""","=""Limit""","=""---""","="" 67.9602""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<0>)""","=""Limit""","=""---""","="" 68.082""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 1P*<1>)""","=""Limit""","=""---""","="" 68.5382""","=""""","=""                                                    ""","="""""
