Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""1s.2p.3p""","=""4P""","=""5/2""","="" 133.2344+x""","=""0.0025""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""5/2""","="" 133.42a""","=""0.05""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2D""","=""3/2""","="" 133.42a""","=""0.05""","=""  48         :    48  1s.2s.(3S).4d       2D   ""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""5/2""","="" 133.571""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).3d""","=""2D*""","=""3/2""","="" 133.571""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""5/2""","="" 133.62a""","=""0.10""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""L12158"""
"=""1s.2s.(3S).4d""","=""2D""","=""3/2""","="" 133.62a""","=""0.10""","=""  32         :    32  1s.2p.(3P*).3p      2D   ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""5/2""","="" 133.70282+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""9/2""","="" 133.70282+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""3/2""","="" 133.70282+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4F*""","=""7/2""","="" 133.70282+x""","=""0.00012""","=""  60         :    34  1s.2s.4f            4F*  ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""1/2""","="" 133.83908+x""","=""0.00006""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""5/2""","="" 133.83908+x""","=""0.00006""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""3/2""","="" 133.83908+x""","=""0.00006""","="" 100                                           ""","=""L12158"""
"=""1s.2p.3d""","=""4D*""","=""7/2""","="" 133.83908+x""","=""0.00006""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(3P*).3p""","=""2S""","=""1/2""","="" 134.00a""","=""0.06""","=""  47         :    35  1s.2s.(3S).5s       2S   ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""1/2""","="" 134.1137+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""5/2""","="" 134.1137+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2p.3d""","=""4P*""","=""3/2""","="" 134.1137+x""","=""0.0007""","=""  80         :    13  1s.2s.5p            4P*  ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""1/2""","="" 134.532+x""","=""0.005""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""7/2""","="" 134.532+x""","=""0.005""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""5/2""","="" 134.532+x""","=""0.005""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5d""","=""4D""","=""3/2""","="" 134.532+x""","=""0.005""","=""  99                                           ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""5/2""","="" 134.6549+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""7/2""","="" 134.6549+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""3/2""","="" 134.6549+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2s.5f""","=""4F*""","=""9/2""","="" 134.6549+x""","=""0.0012""","=""  95         :     5  1s.2p.3d            4F*  ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""3/2""","="" 134.77a""","=""0.04""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2D""","=""5/2""","="" 134.77a""","=""0.04""","=""  84         :     8  1s.2s.(1S).3d       2D   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""1/2""","="" 135.01?""","=""0.04""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).3p""","=""2P""","=""3/2""","="" 135.01?""","=""0.04""","=""  89         :     5  1s.2p.(3P*).4p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""3/2""","="" 135.448""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2D*""","=""5/2""","="" 135.448""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""7/2""","="" 135.47a?""","=""0.06""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""L12158"""
"=""1s.2p.(1P*).3d""","=""2F*""","=""5/2""","="" 135.47a?""","=""0.06""","=""  54         :    36  1s.2s.(3S).6f       2F*  ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""5/2""","="" 135.923+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""1/2""","="" 135.923+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""3/2""","="" 135.923+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""7/2""","="" 136.2118+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""1/2""","="" 136.2118+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""5/2""","="" 136.2118+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""3/2""","="" 136.2118+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""1/2""","="" 136.25""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""3/2""","="" 136.25""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
